author;track;words;unique_words;ratio
Kollegah;Amageddon.txt;1288;726;0.564
Kollegah;Bossaura.txt;1066;579;0.543
Goethe;Zauberlehrling.txt;419;219;0.523
Mero;BallerLos.txt;484;217;0.448
CapitalBra;EinsamAnDerSpitze.txt;382;168;0.440
